Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
FCB Fanta Bubblegum (Medium),284,80.78,0,0,13,19.6,,19.6,0
FCB Fanta Bubblegum (Small),213,60.47,0,0,9,14.7,,14.7,0
FCB Fanta Sour Fizz Tingle (Large),391,110.18,0,0,47,26.2,,26.2,0
FCB Fanta Sour Fizz Tingle (Medium),284,80.07,0,0,34,19,,19,0
FCB Fanta Sour Fizz Tingle (Small),213,59.99,0,0,26,14.3,,14.3,0
Flat White (Large),436,229.45,12.7,8.1,185,17,,16.9,12.1
Flat White (Medium),330,170.89,9.4,6,141,12.7,,12.6,9
Flat White (Small),256,131.69,6.8,4.4,119,9.3,,9.2,6.8
Frozen Coke (Large),355,166.59,0,0,32,40.8,,40.8,0
Frozen Coke (Medium),284,133.37,0,0,26,32.6,,32.6,0
Frozen Coke (Small),213,100.14,0,0,19,24.5,,24.5,0
Frozen Coke Spider (Large),500,259.56,5.7,3.8,116,47.2,,47.2,4.2
Frozen Coke Spider (Medium),445,244.26,5.7,3.8,113,43.4,,43.7,4.2
Frozen Coke Spider (Small),436,241.63,5.7,3.8,113,42.7,,42.7,4.2
Frozen Fanta Bubblegum (Large),355,101.1,0,0,16,24.5,,24.5,0
Frozen Fanta Mango (Large),355,169.46,0,0,14,40.8,,40.8,0
Frozen Fanta Mango (Medium),284,135.76,0,0,11,32.6,,32.6,0
Frozen Fanta Mango (Small),213,101.82,0,0,9,24.5,,24.5,0
Frozen Fanta Mango Spider (Large),500,261.71,5.7,3.8,104,47.2,,47.2,4.2
Frozen Fanta Mango Spider (Medium),445,245.94,5.7,3.8,102,43.4,,43.4,4.2
Frozen Fanta Mango Spider (Small),436,243.31,5.7,3.8,102,42.7,,42.7,4.2
Frozen Fanta Raspberry (Large),355,188.34,0,0,29,45.8,,45.8,0
Frozen Fanta Raspberry (Medium),284,150.57,0,0,23,36.6,,36.6,0
Frozen Fanta Raspberry (Small),213,113.05,0,0,18,27.5,,27.5,0
Frozen Fanta Raspberry Spider (Large),500,260.52,5.7,3.8,116,46.3,,46.3,4.2
Frozen Fanta Raspberry Spider (Medium),445,244.26,5.7,3.8,113,42.7,,42.7,4.2
Frozen Fanta Raspberry Spider (Small),436,241.4,5.7,3.8,113,42,,42,4.2
Frozen Fanta Sour Watermelon (Large),355,169.46,0,0,14,40.8,,40.8,0
Frozen Fanta Sour Watermelon Spider (Large),500,360.9,5.7,3.8,128,70.4,,70.4,4.2
Frozen Fanta Sour Watermelon Spider (Medium),445,241.4,5.7,3.8,121,42.3,,42.3,4.2
Frozen Fanta Sour Watermelon Spider (Small),436,238.29,5.7,3.8,120,41.7,,41.7,4.2
Grill Masters Angus Bacon & Cheese,295,889.1,61.6,34.6,1520,30.6,,7.3,52.2
Grill Masters Angus Chicago,305,879.54,63.6,30.3,1190,29.2,,6.1,46.4
Grill Masters Angus Cowboy,308,951.24,66.5,33.9,1440,34.8,,8.4,52.7
Grill Masters Angus Smokey Bbq,318,989.48,77.2,37.6,1470,40.9,,10,53.1
Grill Masters Double Angus Bacon & Cheese,431,1338.43,96.7,51.5,1790,30.8,,7.6,86.3
Grill Masters Double Angus Cowboy,444,1400.57,102,50.9,1710,35.1,,8.7,86.7
Grill Masters Double Angus Smokey Bbq,454,1438.81,112,54.5,1730,41.2,,10.2,87.1
Grilled Chicken Bacon & Cheese Hunger Tamers,953,1606.12,82.5,12.1,2810,164,,52,51.1
Grilled Chicken Carolina,210,530.59,30.6,7.6,1160,35,,5.8,28.3
Grilled Chicken Cheesy Bacon,195,413.48,20.4,4.4,1070,29.1,,3.5,27.9
Grilled Chicken Classic,164,344.17,15.4,2.4,663,28.6,,3,22.5
Grilled Chicken Family Bundle,3257,4971.32,227,50.7,7420,600,,246,129
Grilled Chicken Spicy,164,356.12,18.1,2.5,864,28.9,,4.1,18.9
Ham & Cheese Croissant Value Meal (Small),405,635.76,38.2,17.9,1060,50.9,,15.3,23.4
Ham & Cheese Croissant,116,339.39,20.4,12.3,710,25.1,,4.4,15.3
Ham & Cheese Sour Dough Toastie,134,370.46,15.9,8.5,803,37.9,,0.8,16.8
Ham & Cheese Toastie,142,334.61,14.2,6.1,881,32.5,,3,16.6
"Ham, Cheese & Tomato Sour Dough Toastie",162,375.24,15.9,8.5,805,38.4,,1.4,17.1
