Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Pineapples (Extra Topping, Medium Pizza),1 amount per slice,14,,5,0,0,0,0,0,2,0,2,0
Pineapples (Extra Topping, Large Pizza),1 amount per slice,18,,10,0,0,0,0,0,2,0,2,0
Pineapples (Extra Topping, Extra Large Pizza),1 amount per slice,18,,10,0,0,0,0,0,2,0,2,0
Roma Tomatoes (Extra Topping, Extra Small Pizza),1 amount per slice,11,,0,0,0,0,0,0,0,0,0,0
Roma Tomatoes (Extra Topping, Small Pizza),1 amount per slice,11,,0,0,0,0,0,0,0,0,0,0
Roma Tomatoes (Extra Topping, Medium Pizza),1 amount per slice,12,,0,0,0,0,0,0,0,0,0,0
Roma Tomatoes (Extra Topping, Large Pizza),1 amount per slice,16,,0,0,0,0,0,0,1,0,0,0
Roma Tomatoes (Extra Topping, Extra Large Pizza),1 amount per slice,16,,0,0,0,0,0,0,1,0,0,0
Extra Cheese (Extra Topping, Extra Small Pizza),1 amount per slice,5,,15,1,0.5,0,5,40,0,0,0,1
Extra Cheese (Extra Topping, Small Pizza),1 amount per slice,4.5,,10,1,0.5,0,5,35,0,0,0,1
Extra Cheese (Extra Topping, Medium Pizza),1 amount per slice,6,,15,1.5,1,0,5,55,0,0,0,1
Extra Cheese (Extra Topping, Large Pizza),1 amount per slice,6,,15,1.5,1,0,5,55,0,0,0,1
Extra Cheese (Extra Topping, Extra Large Pizza),1 amount per slice,5,,15,1,0.5,0,5,45,0,0,0,1
2-Cheese Blend (Extra Topping, Extra Small Pizza),1 amount per slice,3.5,,15,1,0,0,5,30,0,0,0,1
2-Cheese Blend (Extra Topping, Small Pizza),1 amount per slice,3.5,,15,1,0,0,5,35,0,0,0,1
2-Cheese Blend (Extra Topping, Medium Pizza),1 amount per slice,4,,15,1,0.5,0,5,40,0,0,0,1
2-Cheese Blend (Extra Topping, Large Pizza),1 amount per slice,5,,20,1.5,0.5,0,5,50,0,0,0,2
2-Cheese Blend (Extra Topping, Extra Large Pizza),1 amount per slice,5,,20,1.5,0.5,0,5,50,0,0,0,2
3-Cheese Blend (Extra Topping, Extra Small Pizza),1 amount per slice,4.5,,20,1.5,1,0,5,35,0,0,0,1
3-Cheese Blend (Extra Topping, Small Pizza),1 amount per slice,4.5,,20,1.5,1,0,5,35,0,0,0,1
3-Cheese Blend (Extra Topping, Medium Pizza),1 amount per slice,5,,20,1.5,1,0,5,40,0,0,0,2
3-Cheese Blend (Extra Topping, Large Pizza),1 amount per slice,7,,25,2,1.5,0,5,55,0,0,0,2
3-Cheese Blend (Extra Topping, Extra Large Pizza),1 amount per slice,7,,25,2,1.5,0,5,55,0,0,0,2
