Name,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Free Range Egg Salad (HS),151,,316,9.8,1.4,47,3.7,6.1,12
Fruit Scones,96,,298,8.7,3.0,50,1.8,19,6.3
Gingerbread Men,42,,178,4.7,1.6,32,2.9,13,3.1
Glazed Ring Doughnuts,58,,219,9.0,3.9,32,1.0,13,3.4
Golden Syrup Flavour Porridge,237,,244,4.2,1.4,46,4.2,14,7.5
Green Tea Regular,,330,0,0.0,0.0,0.0,0.0,0.0,0.0
Greggs Mature Cheddar & Onion Hand Cooked Crisps 40g,40,,198,10,1.0,25,1.6,0.9,3.0
Greggs Natural Mineral Water 500ml,,500,0,0.0,0.0,0.0,0.0,0.0,0.0
Greggs Natural Mineral Water 750ml,,750,0,0.0,0.0,0.0,0.0,0.0,0.0
Greggs Sea Salt & Cider Vinegar Hand Cooked Crisps 40g,40,,198,10,0.9,24,1.4,0.7,2.7
Greggs Thai Sweet Chilli Flavour Hand Cooked Crisps 40g,40,,199,10,0.9,25,1.5,1.7,2.8
Haggis Pie,157,,368,19,7.8,41,2.2,2.6,9.9
Ham & Cheese Baguette,196,,492,16,8.1,60,2.8,3.4,29
Hot Ham & Cheese Baguette,188,,491,16,8.1,60,2.8,3.4,29
Ham & Mature Cheddar Cheese Toastie,183,,468,16,9.4,53,2.3,6.0,28
Ham Sandwich,126,,258,4.9,1.2,40,3.7,4.5,16
Hash Browns,76,,151,6.3,0.7,24,1.6,0.0,1.1
Honey Roast Ham & Egg (HS),148,,327,9.0,1.2,47,4.1,6.8,17
Honey Roast Ham & Egg Salad,193,,326,8.7,1.2,48,4.0,6.8,17
Honey Roast Ham (HS),136,,310,9.0,2.0,45,3.5,5.1,15
Honey Roast Ham and Egg Salad Roll,198,,331,9.7,1.3,45,4.8,7.5,18
Honey Roast Ham Salad Baguette,241,,402,7.6,1.3,63,3.4,5.4,22
Hot & Spicy Chicken Wrap,241,,569,19,7.0,78,3.4,17,21
Hot & Spicy Crispy Chicken Ciabatta Roll,263,,665,24,8.2,77,3.5,5.8,36
Hot Chocolate Large,,439,281,6.7,5.4,47,0.0,42,8.6
Hot Chocolate Regular,,372,219,5.3,4.0,37,0.0,30,6.7
Hot Milk Chocolate Cookies,146,,712,39,16,86,11,40,11
Hot Yum Yums,156,,646,34,17,76,1.3,30,8.3
