Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"#9 Club Supreme (Wrap, Garlic Herb Wrap)",1180,80.56,18.76,0.72,129.23,2337.51,60.89,4.25,5.33,55.54
"#9 Club Supreme (Wrap, Spinach Herb Wrap)",1180,80.56,18.76,0.72,129.23,2127.51,59.89,4.25,5.33,56.54
#9 Club Supreme (Bowl),870,73.56,15.76,0.72,129.23,1387.51,8.89,2.25,5.33,47.54
"#1 BLT (Mini, White Bread)",460,26.73,5.87,0.2,38.2,1047.3,39.16,2.62,4.05,17.13
"#1 BLT (Mini, Rosemary Parmesan Bread)",480,28.15,6.75,0.2,42.37,1094.38,39.7,2.87,4.06,18.5
"#1 BLT (Mini, Wheat Bread)",460,27,5.61,0.2,38.2,1022.8,39.77,4.06,4.76,17.71
"#1 BLT (Mini, Seeded Italian Bread)",490,27.99,6.08,0.2,38.2,1066.55,44.88,4.27,5.29,17.3
"#1 BLT (Regular, White Bread)",750,47.18,9.83,0.39,60.22,1618.65,59.45,3.96,6.26,25.86
"#1 BLT (Regular, Rosemary Parmesan Bread)",780,49.34,11.16,0.39,66.55,1689.98,60.27,4.33,6.28,27.93
"#1 BLT (Regular, Wheat Bread)",760,47.6,9.44,0.39,60.22,1581.52,60.38,6.13,7.34,26.73
"#1 BLT (Regular, Seeded Italian Bread)",800,49.09,10.15,0.39,60.22,1647.81,68.12,6.45,8.14,26.11
"#1 BLT (Regular, Gluten Free Bread)",710,51.59,9.9,0.39,60.22,1427.81,46.12,3.95,8.14,21.61
"#1 BLT (Giant, White Bread)",1490,94.25,19.64,0.79,120.43,3233.09,117.01,7.26,11.28,51.22
"#1 BLT (Giant, Rosemary Parmesan Bread)",1550,98.57,22.3,0.79,133.09,3375.74,118.65,8.01,11.31,55.36
"#1 BLT (Giant, Wheat Bread)",1510,95.09,18.86,0.79,120.43,3158.84,118.85,11.61,13.42,52.96
"#1 BLT (Giant, Seeded Italian Bread)",1580,98.07,20.27,0.78,120.43,3291.42,134.34,12.25,15.04,51.72
"#1 BLT (Giant, Gluten Free Bread)",1400,103.07,19.77,0.78,120.43,2851.42,90.34,7.25,15.04,42.72
"#1 BLT (Wrap, White Wrap)",790,51.71,12.42,0.39,60.22,1725.56,60.74,4.61,6.08,24.09
"#1 BLT (Wrap, Tomato Basil Wrap)",790,51.71,12.42,0.39,60.22,1705.56,60.74,4.61,6.08,24.09
"#1 BLT (Wrap, Wheat Wrap)",770,51.71,12.42,0.39,60.22,1735.56,58.74,8.61,6.08,25.09
"#1 BLT (Wrap, Garlic Herb Wrap)",790,51.71,12.42,0.39,60.22,1935.56,60.74,4.61,6.08,24.09
"#1 BLT (Wrap, Spinach Herb Wrap)",790,51.71,12.42,0.39,60.22,1725.56,59.74,4.61,6.08,25.09
#1 BLT (Bowl),470,44.56,9.39,0.39,60.22,982.13,6.09,1.79,4.28,15.49
"#4 The Number Four (Mini, White Bread)",460,23.24,6.24,0.39,33.42,1082.72,42.13,2.82,5.81,21.91
"#4 The Number Four (Mini, Rosemary Parmesan Bread)",480,24.66,7.12,0.39,37.6,1129.8,42.68,3.07,5.82,23.28
"#4 The Number Four (Mini, Wheat Bread)",470,23.52,5.98,0.39,33.42,1058.22,42.75,4.26,6.52,22.49
"#4 The Number Four (Mini, Seeded Italian Bread)",490,24.5,6.45,0.39,33.42,1101.97,47.85,4.47,7.05,22.08
"#4 The Number Four (Regular, White Bread)",780,42.35,10.48,0.66,55.89,1793.63,64.54,4.26,9.42,36.04
"#4 The Number Four (Regular, Rosemary Parmesan Bread)",810,44.51,11.81,0.66,62.22,1864.95,65.36,4.63,9.44,38.11
"#4 The Number Four (Regular, Wheat Bread)",790,42.77,10.09,0.66,55.89,1756.5,65.47,6.43,10.5,36.91
"#4 The Number Four (Regular, Seeded Italian Bread)",830,44.26,10.79,0.66,55.89,1822.79,73.21,6.75,11.3,36.29
"#4 The Number Four (Regular, Gluten Free Bread)",740,46.76,10.54,0.66,55.89,1602.79,51.21,4.25,11.3,31.79
"#4 The Number Four (Giant, White Bread)",1470,80.77,18.98,1.21,92.98,3213.61,125.23,7.8,16.23,63.41
"#4 The Number Four (Giant, Rosemary Parmesan Bread)",1540,85.09,21.64,1.21,105.64,3356.26,126.87,8.55,16.26,67.55
"#4 The Number Four (Giant, Wheat Bread)",1500,81.61,18.2,1.21,92.98,3139.36,127.08,12.15,18.38,65.15
"#4 The Number Four (Giant, Seeded Italian Bread)",1570,84.59,19.61,1.2,92.98,3271.94,142.56,12.79,19.99,63.91
"#4 The Number Four (Giant, Gluten Free Bread)",1390,89.59,19.11,1.2,92.98,2831.94,98.56,7.79,19.99,54.91
"#4 The Number Four (Wrap, White Wrap)",810,46.76,13.04,0.66,55.89,1897.79,63.71,4.25,7.8,33.79
"#4 The Number Four (Wrap, Tomato Basil Wrap)",810,46.76,13.04,0.66,55.89,1877.79,63.71,4.25,7.8,33.79
"#4 The Number Four (Wrap, Wheat Wrap)",790,46.76,13.04,0.66,55.89,1907.79,61.71,8.25,7.8,34.79
"#4 The Number Four (Wrap, Garlic Herb Wrap)",810,46.76,13.04,0.66,55.89,2107.79,63.71,4.25,7.8,33.79
"#4 The Number Four (Wrap, Spinach Herb Wrap)",810,46.76,13.04,0.66,55.89,1897.79,62.71,4.25,7.8,34.79
#4 The Number Four (Bowl),500,39.76,10.04,0.66,55.89,1157.79,11.71,2.25,7.8,25.79
"#11 Stickball Special (Mini, White Bread)",490,26.9,7.92,0.39,38.53,1126.9,40.93,2.84,4.91,21.04
"#11 Stickball Special (Mini, Rosemary Parmesan Bread)",510,28.33,8.8,0.39,42.71,1173.97,41.47,3.08,4.92,22.41
"#11 Stickball Special (Mini, Wheat Bread)",500,27.18,7.67,0.39,38.53,1102.39,41.54,4.27,5.62,21.62
"#11 Stickball Special (Mini, Seeded Italian Bread)",520,28.16,8.13,0.39,38.53,1146.15,46.64,4.48,6.15,21.21
"#11 Stickball Special (Regular, White Bread)",860,51.05,14.36,0.66,75.85,2113.21,62.81,4.28,8.27,38.28
"#11 Stickball Special (Regular, Rosemary Parmesan Bread)",890,53.21,15.69,0.66,82.18,2184.54,63.63,4.65,8.28,40.35
"#11 Stickball Special (Regular, Wheat Bread)",870,51.47,13.97,0.66,75.85,2076.09,63.74,6.45,9.34,39.15
"#11 Stickball Special (Regular, Seeded Italian Bread)",910,52.96,14.67,0.66,75.85,2142.38,71.48,6.77,10.15,38.53
"#11 Stickball Special (Regular, Gluten Free Bread)",820,55.46,14.42,0.66,75.85,1922.38,49.48,4.27,10.15,34.03
"#11 Stickball Special (Giant, White Bread)",1610,95.6,25.58,1.21,125.89,3730.51,122.32,7.84,14.27,66.71
"#11 Stickball Special (Giant, Rosemary Parmesan Bread)",1670,99.92,28.24,1.21,138.55,3873.16,123.96,8.59,14.3,70.85
"#11 Stickball Special (Giant, Wheat Bread)",1640,96.44,24.8,1.21,125.89,3656.26,124.17,12.19,16.42,68.45
"#11 Stickball Special (Giant, Seeded Italian Bread)",1710,99.42,26.21,1.2,125.89,3788.84,139.65,12.83,18.03,67.21
"#11 Stickball Special (Giant, Gluten Free Bread)",1530,104.42,25.71,1.2,125.89,3348.84,95.65,7.83,18.03,58.21
"#11 Stickball Special (Wrap, White Wrap)",890,55.46,16.92,0.66,75.85,2217.38,61.98,4.27,6.65,36.03
"#11 Stickball Special (Wrap, Tomato Basil Wrap)",890,55.46,16.92,0.66,75.85,2197.38,61.98,4.27,6.65,36.03
"#11 Stickball Special (Wrap, Wheat Wrap)",870,55.46,16.92,0.66,75.85,2227.38,59.98,8.27,6.65,37.03
"#11 Stickball Special (Wrap, Garlic Herb Wrap)",890,55.46,16.92,0.66,75.85,2427.38,61.98,4.27,6.65,36.03
"#11 Stickball Special (Wrap, Spinach Herb Wrap)",890,55.46,16.92,0.66,75.85,2217.38,60.98,4.27,6.65,37.03
#11 Stickball Special (Bowl),580,48.46,13.92,0.66,75.85,1477.38,9.98,2.27,6.65,28.03
"#12 Cancro Special (Mini, White Bread)",540,27.31,7.84,0.41,67.87,879.12,40.12,2.85,4.07,32.28
"#12 Cancro Special (Mini, Rosemary Parmesan Bread)",560,28.74,8.71,0.41,72.05,926.19,40.66,3.1,4.08,33.65
"#12 Cancro Special (Mini, Wheat Bread)",550,27.59,7.58,0.41,67.87,854.62,40.73,4.29,4.78,32.86
"#12 Cancro Special (Mini, Seeded Italian Bread)",570,28.57,8.04,0.41,67.87,898.37,45.84,4.5,5.31,32.45
"#12 Cancro Special (Regular, White Bread)",940,50.7,13.73,0.7,127.35,1446.97,60.82,4.31,6.21,57.9
"#12 Cancro Special (Regular, Rosemary Parmesan Bread)",970,52.86,15.06,0.7,133.68,1518.29,61.64,4.69,6.23,59.97
"#12 Cancro Special (Regular, Wheat Bread)",950,51.12,13.34,0.7,127.35,1409.84,61.75,6.49,7.29,58.77
"#12 Cancro Special (Regular, Seeded Italian Bread)",990,52.61,14.05,0.7,127.35,1476.13,69.49,6.81,8.09,58.15
"#12 Cancro Special (Regular, Gluten Free Bread)",900,55.11,13.8,0.7,127.35,1256.13,47.49,4.31,8.09,53.65
"#12 Cancro Special (Giant, White Bread)",1750,95.63,24.73,1.28,213.7,2675.05,119.16,7.91,10.98,100.08
"#12 Cancro Special (Giant, Rosemary Parmesan Bread)",1810,99.95,27.39,1.28,226.36,2817.7,120.8,8.66,11.01,104.22
"#12 Cancro Special (Giant, Wheat Bread)",1780,96.47,23.95,1.28,213.7,2600.8,121.01,12.26,13.13,101.82
"#12 Cancro Special (Giant, Seeded Italian Bread)",1850,99.45,25.36,1.27,213.7,2733.38,136.49,12.9,14.74,100.58
"#12 Cancro Special (Giant, Gluten Free Bread)",1670,104.45,24.86,1.27,213.7,2293.38,92.49,7.9,14.74,91.58
"#12 Cancro Special (Wrap, White Wrap)",970,55.11,16.3,0.7,127.35,1551.13,59.99,4.31,4.59,55.65
"#12 Cancro Special (Wrap, Tomato Basil Wrap)",970,55.11,16.3,0.7,127.35,1531.13,59.99,4.31,4.59,55.65
"#12 Cancro Special (Wrap, Wheat Wrap)",950,55.11,16.3,0.7,127.35,1561.13,57.99,8.31,4.59,56.65
"#12 Cancro Special (Wrap, Garlic Herb Wrap)",970,55.11,16.3,0.7,127.35,1761.13,59.99,4.31,4.59,55.65
"#12 Cancro Special (Wrap, Spinach Herb Wrap)",970,55.11,16.3,0.7,127.35,1551.13,58.99,4.31,4.59,56.65
#12 Cancro Special (Bowl),660,48.11,13.3,0.7,127.35,811.13,7.99,2.31,4.59,47.65
"Chicken Salad Sub (Mini, White Bread)",700,47.35,7.17,0.58,48.98,672.72,40.58,3.05,4.66,30.08
"Chicken Salad Sub (Mini, Rosemary Parmesan Bread)",720,48.78,8.05,0.58,53.16,719.79,41.12,3.3,4.67,31.44
"Chicken Salad Sub (Mini, Wheat Bread)",710,47.63,6.91,0.58,48.98,648.22,41.19,4.49,5.37,30.65
"Chicken Salad Sub (Mini, Seeded Italian Bread)",730,48.61,7.38,0.58,48.98,691.97,46.29,4.7,5.91,30.24
"Chicken Salad Sub (Regular, White Bread)",1190,84.1,12.71,1.03,82.89,1056.78,61.62,4.64,7.18,49.49
"Chicken Salad Sub (Regular, Rosemary Parmesan Bread)",1220,86.26,14.04,1.03,89.22,1128.11,62.44,5.02,7.19,51.56
"Chicken Salad Sub (Regular, Wheat Bread)",1200,84.52,12.32,1.03,82.89,1019.66,62.54,6.81,8.25,50.36
"Chicken Salad Sub (Regular, Seeded Italian Bread)",1240,86.01,13.02,1.03,82.89,1085.95,70.28,7.14,9.06,49.74
"Chicken Salad Sub (Regular, Gluten Free Bread)",1150,88.51,12.77,1.03,82.89,865.95,48.28,4.64,9.06,45.24
"Chicken Salad Sub (Giant, White Bread)",2260,158.42,23.93,1.93,150.7,2043.97,120.69,8.5,12.72,91.62
"Chicken Salad Sub (Giant, Rosemary Parmesan Bread)",2320,162.75,26.59,1.93,163.36,2186.62,122.33,9.25,12.75,95.76
"Chicken Salad Sub (Giant, Wheat Bread)",2280,159.27,23.15,1.93,150.7,1969.72,122.54,12.85,14.87,93.36
"Chicken Salad Sub (Giant, Seeded Italian Bread)",2350,162.25,24.56,1.92,150.7,2102.3,138.02,13.49,16.48,92.12
"Chicken Salad Sub (Giant, Gluten Free Bread)",2170,167.25,24.06,1.92,150.7,1662.3,94.02,8.49,16.48,83.12
"Chicken Salad Sub (Wrap, White Wrap)",1220,88.51,15.27,1.03,82.89,1160.95,60.78,4.64,5.56,47.24
"Chicken Salad Sub (Wrap, Tomato Basil Wrap)",1220,88.51,15.27,1.03,82.89,1140.95,60.78,4.64,5.56,47.24
"Chicken Salad Sub (Wrap, Wheat Wrap)",1200,88.51,15.27,1.03,82.89,1170.95,58.78,8.64,5.56,48.24
"Chicken Salad Sub (Wrap, Garlic Herb Wrap)",1220,88.51,15.27,1.03,82.89,1370.95,60.78,4.64,5.56,47.24
"Chicken Salad Sub (Wrap, Spinach Herb Wrap)",1220,88.51,15.27,1.03,82.89,1160.95,59.78,4.64,5.56,48.24
Chicken Salad Sub (Bowl),910,81.51,12.27,1.03,82.89,420.95,8.78,2.64,5.56,39.24
"Natural Turkey Sub (Mini, White Bread)",400,21.52,5.73,0.38,15.74,625.37,39.84,2.82,3.88,13.17
"Natural Turkey Sub (Mini, Rosemary Parmesan Bread)",420,22.95,6.61,0.38,19.91,672.45,40.38,3.07,3.89,14.54
"Natural Turkey Sub (Mini, Wheat Bread)",410,21.8,5.47,0.38,15.74,600.87,40.45,4.26,4.59,13.75
"Natural Turkey Sub (Mini, Seeded Italian Bread)",430,22.78,5.94,0.37,15.74,644.62,45.56,4.47,5.12,13.34
"Natural Turkey Sub (Regular, White Bread)",680,40.24,10.19,0.68,26.23,972.44,60.36,4.26,5.85,20.75
"Natural Turkey Sub (Regular, Rosemary Parmesan Bread)",710,42.4,11.52,0.68,32.56,1043.76,61.18,4.63,5.86,22.82
"Natural Turkey Sub (Regular, Wheat Bread)",700,40.66,9.8,0.68,26.23,935.31,61.28,6.43,6.92,21.62
"Natural Turkey Sub (Regular, Seeded Italian Bread)",730,42.15,10.5,0.67,26.23,1001.6,69.02,6.75,7.73,21
"Natural Turkey Sub (Regular, Gluten Free Bread)",640,44.65,10.25,0.67,26.23,781.6,47.02,4.25,7.73,16.5
"Natural Turkey Sub (Giant, White Bread)",1310,76.65,18.13,1.21,41.96,1830.69,118.23,7.8,10.28,37.42
"Natural Turkey Sub (Giant, Rosemary Parmesan Bread)",1370,80.97,20.79,1.21,54.62,1973.34,119.87,8.55,10.31,41.56
"Natural Turkey Sub (Giant, Wheat Bread)",1330,77.49,17.35,1.21,41.96,1756.44,120.07,12.15,12.43,39.16
"Natural Turkey Sub (Giant, Seeded Italian Bread)",1400,80.47,18.76,1.2,41.96,1889.02,135.56,12.79,14.04,37.92
"Natural Turkey Sub (Giant, Gluten Free Bread)",1220,85.47,18.26,1.2,41.96,1449.02,91.55,7.79,14.04,28.92
"Natural Turkey Sub (Wrap, White Wrap)",720,44.65,12.75,0.67,26.23,1076.6,59.52,4.25,4.23,18.5
"Natural Turkey Sub (Wrap, Tomato Basil Wrap)",720,44.65,12.75,0.67,26.23,1056.6,59.52,4.25,4.23,18.5
"Natural Turkey Sub (Wrap, Wheat Wrap)",700,44.65,12.75,0.67,26.23,1086.6,57.52,8.25,4.23,19.5
"Natural Turkey Sub (Wrap, Garlic Herb Wrap)",720,44.65,12.75,0.67,26.23,1286.6,59.52,4.25,4.23,18.5
"Natural Turkey Sub (Wrap, Spinach Herb Wrap)",720,44.65,12.75,0.67,26.23,1076.6,58.52,4.25,4.23,19.5
Natural Turkey Sub (Bowl),410,37.65,9.75,0.67,26.23,336.6,7.52,2.25,4.23,10.5
"Chipotle Turkey Sub (Mini, White Bread)",610,38.38,8.46,0.5,53,1294.74,41.03,2.87,4.83,25.67
"Chipotle Turkey Sub (Mini, Rosemary Parmesan Bread)",630,39.81,9.34,0.5,57.17,1341.82,41.57,3.12,4.84,27.04
"Chipotle Turkey Sub (Mini, Wheat Bread)",620,38.66,8.21,0.5,53,1270.24,41.64,4.31,5.54,26.25
"Chipotle Turkey Sub (Mini, Seeded Italian Bread)",640,39.64,8.67,0.49,53,1313.99,46.75,4.52,6.07,25.84
"Chipotle Turkey Sub (Regular, White Bread)",1060,72.64,14.97,0.87,89.73,2122.37,62.55,4.35,7.63,40.8
"Chipotle Turkey Sub (Regular, Rosemary Parmesan Bread)",1090,74.8,16.3,0.87,96.06,2193.69,63.37,4.72,7.64,42.87
"Chipotle Turkey Sub (Regular, Wheat Bread)",1070,73.06,14.58,0.87,89.73,2085.24,63.47,6.52,8.7,41.67
"Chipotle Turkey Sub (Regular, Seeded Italian Bread)",1110,74.55,15.29,0.87,89.73,2151.53,71.21,6.84,9.51,41.05
"Chipotle Turkey Sub (Regular, Gluten Free Bread)",1020,77.05,15.04,0.87,89.73,1931.53,49.21,4.34,9.51,36.55
"Chipotle Turkey Sub (Giant, White Bread)",2070,142.18,28.14,1.63,171.07,4152.52,122.67,7.98,13.85,78.23
"Chipotle Turkey Sub (Giant, Rosemary Parmesan Bread)",2130,146.5,30.8,1.63,183.73,4295.17,124.3,8.73,13.88,82.37
"Chipotle Turkey Sub (Giant, Wheat Bread)",2100,143.02,27.36,1.63,171.07,4078.27,124.52,12.33,16,79.97
"Chipotle Turkey Sub (Giant, Seeded Italian Bread)",2170,146,28.77,1.62,171.07,4210.85,140,12.97,17.61,78.73
"Chipotle Turkey Sub (Giant, Gluten Free Bread)",1990,151,28.27,1.62,171.07,3770.85,95.99,7.97,17.61,69.73
"Chipotle Turkey Sub (Wrap, White Wrap)",1100,77.39,17.76,0.88,89.66,2215.26,61.73,4.34,6,38.35
"Chipotle Turkey Sub (Wrap, Tomato Basil Wrap)",1100,77.39,17.76,0.88,89.66,2195.26,61.73,4.34,6,38.35
"Chipotle Turkey Sub (Wrap, Wheat Wrap)",1080,77.39,17.76,0.88,89.66,2225.26,59.73,8.34,6,39.35
"Chipotle Turkey Sub (Wrap, Garlic Herb Wrap)",1100,77.39,17.76,0.88,89.66,2425.26,61.73,4.34,6,38.35
"Chipotle Turkey Sub (Wrap, Spinach Herb Wrap)",1100,77.39,17.76,0.88,89.66,2215.26,60.73,4.34,6,39.35
Chipotle Turkey Sub (Bowl),790,70.39,14.76,0.88,89.66,1475.26,9.73,2.34,6,30.35
"Pepperoni & Cheese (Mini, White Bread)",590,38.12,11.48,0.38,52.9,1260.25,41.58,3.04,5.19,20.64
"Pepperoni & Cheese (Mini, Rosemary Parmesan Bread)",610,39.55,12.36,0.38,57.07,1307.33,42.12,3.28,5.2,22
"Pepperoni & Cheese (Mini, Wheat Bread)",600,38.4,11.22,0.38,52.9,1235.75,42.19,4.47,5.9,21.21
"Pepperoni & Cheese (Mini, Seeded Italian Bread)",620,39.38,11.69,0.37,52.9,1279.5,47.3,4.68,6.43,20.8
"Pepperoni & Cheese (Regular, White Bread)",980,66.42,19.16,0.66,84.63,1977.26,63.12,4.59,7.93,32.34
"Pepperoni & Cheese (Regular, Rosemary Parmesan Bread)",1010,68.58,20.49,0.66,90.96,2048.58,63.94,4.97,7.95,34.41
"Pepperoni & Cheese (Regular, Wheat Bread)",990,66.84,18.77,0.66,84.63,1940.13,64.04,6.77,9.01,33.21
"Pepperoni & Cheese (Regular, Seeded Italian Bread)",1020,68.33,19.48,0.66,84.63,2006.42,71.78,7.09,9.81,32.59
"Pepperoni & Cheese (Regular, Gluten Free Bread)",930,70.83,19.23,0.66,84.63,1786.42,49.78,4.59,9.81,28.09
"Pepperoni & Cheese (Giant, White Bread)",1800,120.91,33.45,1.21,141.06,3523.7,122.87,8.36,13.77,57.32
"Pepperoni & Cheese (Giant, Rosemary Parmesan Bread)",1870,125.23,36.11,1.21,153.72,3666.35,124.51,9.11,13.8,61.46
"Pepperoni & Cheese (Giant, Wheat Bread)",1830,121.75,32.67,1.21,141.06,3449.45,124.72,12.71,15.92,59.06
"Pepperoni & Cheese (Giant, Seeded Italian Bread)",1900,124.73,34.08,1.2,141.06,3582.03,140.2,13.35,17.53,57.82
"Pepperoni & Cheese (Giant, Gluten Free Bread)",1720,129.73,33.58,1.2,141.06,3142.03,96.2,8.35,17.53,48.82
"Pepperoni & Cheese (Wrap, White Wrap)",1010,71.21,21.95,0.67,85.68,2092.41,62.31,4.59,6.32,30.44
"Pepperoni & Cheese (Wrap, Tomato Basil Wrap)",1010,71.21,21.95,0.67,85.68,2072.41,62.31,4.59,6.32,30.44
"Pepperoni & Cheese (Wrap, Wheat Wrap)",990,71.21,21.95,0.67,85.68,2102.41,60.31,8.59,6.32,31.44
"Pepperoni & Cheese (Wrap, Garlic Herb Wrap)",1010,71.21,21.95,0.67,85.68,2302.41,62.31,4.59,6.32,30.44
"Pepperoni & Cheese (Wrap, Spinach Herb Wrap)",1010,71.21,21.95,0.67,85.68,2092.41,61.31,4.59,6.32,31.44
Pepperoni & Cheese (Bowl),700,64.21,18.95,0.67,85.68,1352.41,10.31,2.59,6.32,22.44
"Salami and Cheese (Mini, White Bread)",630,40.89,13.55,0.39,63.52,1546.96,41.78,2.88,5.65,23.48
"Salami and Cheese (Mini, Rosemary Parmesan Bread)",650,42.32,14.43,0.39,67.7,1594.03,42.32,3.13,5.66,24.85
"Salami and Cheese (Mini, Wheat Bread)",640,41.17,13.29,0.39,63.52,1522.45,42.39,4.32,6.36,24.06
"Salami and Cheese (Mini, Seeded Italian Bread)",660,42.15,13.76,0.39,63.52,1566.21,47.5,4.53,6.89,23.65
"Salami and Cheese (Regular, White Bread)",1010,68.36,21.36,0.66,95.29,2327.35,63.2,4.34,8.49,35.32
"Salami and Cheese (Regular, Rosemary Parmesan Bread)",1040,70.52,22.69,0.66,101.62,2398.67,64.02,4.71,8.5,37.39
"Salami and Cheese (Regular, Wheat Bread)",1020,68.78,20.97,0.66,95.29,2290.22,64.12,6.51,9.56,36.19
"Salami and Cheese (Regular, Seeded Italian Bread)",1060,70.27,21.67,0.66,95.29,2356.51,71.86,6.83,10.37,35.57
"Salami and Cheese (Regular, Gluten Free Bread)",970,72.77,21.42,0.66,95.29,2136.51,49.86,4.33,10.37,31.07
"Salami and Cheese (Giant, White Bread)",1930,129.84,39.39,1.21,172.83,4380.36,123.58,7.96,15.22,65.28
"Salami and Cheese (Giant, Rosemary Parmesan Bread)",1990,134.16,42.05,1.21,185.49,4523.01,125.22,8.71,15.25,69.42
"Salami and Cheese (Giant, Wheat Bread)",1950,130.68,38.61,1.21,172.83,4306.11,125.43,12.31,17.37,67.02
"Salami and Cheese (Giant, Seeded Italian Bread)",2020,133.66,40.02,1.2,172.83,4438.69,140.91,12.95,18.98,65.78
"Salami and Cheese (Giant, Gluten Free Bread)",1840,138.66,39.52,1.2,172.83,3998.69,96.91,7.95,18.98,56.78
"California Club Sub (Mini, White Bread)",540,28.85,7.23,0.38,47.94,1239.5,42.61,4.72,4.42,27.96
"California Club Sub (Mini, Rosemary Parmesan Bread)",560,30.28,8.11,0.38,52.12,1286.57,43.15,4.97,4.43,29.33
"California Club Sub (Mini, Wheat Bread)",540,29.13,6.98,0.38,47.94,1215,43.22,6.16,5.13,28.54
"California Club Sub (Mini, Seeded Italian Bread)",570,30.12,7.44,0.37,47.94,1258.75,48.33,6.37,5.66,28.13
"California Club Sub (Regular, White Bread)",950,54.91,13.19,0.68,90.64,2200.69,65.9,8.06,6.93,50.33
"California Club Sub (Regular, Rosemary Parmesan Bread)",980,57.07,14.52,0.68,96.97,2272.01,66.72,8.43,6.95,52.4
"California Club Sub (Regular, Wheat Bread)",960,55.33,12.8,0.68,90.64,2163.56,66.83,10.23,8.01,51.2
"California Club Sub (Regular, Seeded Italian Bread)",990,56.82,13.51,0.67,90.64,2229.85,74.57,10.55,8.81,50.58
"California Club Sub (Regular, Gluten Free Bread)",900,59.32,13.26,0.67,90.64,2009.85,52.57,8.05,8.81,46.08
"California Club Sub (Giant, White Bread)",1800,105.57,24.11,1.21,155.05,3975.49,129.11,15.4,12.24,88.82
"California Club Sub (Giant, Rosemary Parmesan Bread)",1860,109.89,26.77,1.21,167.71,4118.14,130.75,16.15,12.27,92.96
"California Club Sub (Giant, Wheat Bread)",1820,106.41,23.33,1.21,155.05,3901.24,130.96,19.75,14.39,90.56
"California Club Sub (Giant, Seeded Italian Bread)",1890,109.39,24.74,1.2,155.05,4033.82,146.44,20.39,16,89.32
"California Club Sub (Giant, Gluten Free Bread)",1710,114.39,24.24,1.2,155.05,3593.82,102.44,15.39,16,80.32
"California Club Sub (Wrap, White Wrap)",980,59.32,15.76,0.67,90.64,2304.85,65.07,8.05,5.31,48.08
"California Club Sub (Wrap, Tomato Basil Wrap)",980,59.32,15.76,0.67,90.64,2284.85,65.07,8.05,5.31,48.08
"California Club Sub (Wrap, Wheat Wrap)",960,59.32,15.76,0.67,90.64,2314.85,63.07,12.05,5.31,49.08
"California Club Sub (Wrap, Garlic Herb Wrap)",980,59.32,15.76,0.67,90.64,2514.85,65.07,8.05,5.31,48.08
"California Club Sub (Wrap, Spinach Herb Wrap)",980,59.32,15.76,0.67,90.64,2304.85,64.07,8.05,5.31,49.08
California Club Sub (Bowl),670,52.32,12.76,0.67,90.64,1564.85,13.07,6.05,5.31,40.08
"Turkey Club Sub (Mini, White Bread)",630,39.54,8.94,0.58,54.98,1333.21,40.59,2.82,4.59,27.87
"Turkey Club Sub (Mini, Rosemary Parmesan Bread)",650,40.97,9.82,0.58,59.16,1380.28,41.13,3.07,4.6,29.24
"Turkey Club Sub (Mini, Wheat Bread)",630,39.82,8.69,0.58,54.98,1308.7,41.2,4.26,5.3,28.45
"Turkey Club Sub (Mini, Seeded Italian Bread)",660,40.8,9.15,0.58,54.98,1352.46,46.31,4.47,5.83,28.04
"Turkey Club Sub (Regular, White Bread)",1100,75.3,16.15,1.07,93.62,2188.02,61.68,4.26,7.14,45.01
"Turkey Club Sub (Regular, Rosemary Parmesan Bread)",1130,77.46,17.48,1.07,99.95,2259.35,62.5,4.63,7.16,47.08
"Turkey Club Sub (Regular, Wheat Bread)",1110,75.72,15.76,1.07,93.62,2150.9,62.61,6.43,8.22,45.88
"Turkey Club Sub (Regular, Seeded Italian Bread)",1140,77.21,16.47,1.06,93.62,2217.19,70.35,6.75,9.02,45.26
"Turkey Club Sub (Regular, Gluten Free Bread)",1050,79.71,16.22,1.06,93.62,1997.19,48.35,4.25,9.02,40.76
"Turkey Club Sub (Giant, White Bread)",2130,146.77,30.06,1.98,176.75,4261.86,120.87,7.8,12.87,85.94
"Turkey Club Sub (Giant, Rosemary Parmesan Bread)",2190,151.09,32.72,1.98,189.41,4404.51,122.51,8.55,12.91,90.08
"Turkey Club Sub (Giant, Wheat Bread)",2160,147.61,29.28,1.98,176.75,4187.61,122.72,12.15,15.02,87.68
"Turkey Club Sub (Giant, Seeded Italian Bread)",2230,150.59,30.69,1.98,176.75,4320.19,138.2,12.79,16.63,86.44
"Turkey Club Sub (Giant, Gluten Free Bread)",2050,155.59,30.19,1.98,176.75,3880.19,94.2,7.79,16.63,77.44
"Turkey Club Sub (Wrap, White Wrap)",1130,79.71,18.72,1.06,93.62,2292.19,60.85,4.25,5.52,42.76
"Turkey Club Sub (Wrap, Tomato Basil Wrap)",1130,79.71,18.72,1.06,93.62,2272.19,60.85,4.25,5.52,42.76
"Turkey Club Sub (Wrap, Wheat Wrap)",1110,79.71,18.72,1.06,93.62,2302.19,58.85,8.25,5.52,43.76
"Turkey Club Sub (Wrap, Garlic Herb Wrap)",1130,79.71,18.72,1.06,93.62,2502.19,60.85,4.25,5.52,42.76
