Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"#14 The Veggie (Regular, Rosemary Parmesan Bread)",940,60.17,22.47,0.9,86.26,1361.05,64.15,4.99,6.43,40.47
"#14 The Veggie (Regular, Wheat Bread)",930,58.43,20.75,0.9,79.93,1252.6,64.25,6.79,7.49,39.27
"#14 The Veggie (Regular, Seeded Italian Bread)",960,59.92,21.46,0.89,79.93,1318.89,71.99,7.11,8.3,38.65
"#14 The Veggie (Regular, Gluten Free Bread)",870,62.42,21.21,0.89,79.93,1098.89,49.99,4.61,8.3,34.15
"#14 The Veggie (Giant, White Bread)",1820,115.92,42.25,1.79,159.85,2574.91,124.15,8.4,11.29,76.22
"#14 The Veggie (Giant, Rosemary Parmesan Bread)",1880,120.24,44.92,1.79,172.51,2717.56,125.79,9.15,11.32,80.36
"#14 The Veggie (Giant, Wheat Bread)",1840,116.76,41.48,1.79,159.85,2500.66,126,12.75,13.44,77.96
"#14 The Veggie (Giant, Seeded Italian Bread)",1910,119.74,42.89,1.78,159.85,2633.24,141.48,13.39,15.05,76.72
"#14 The Veggie (Giant, Gluten Free Bread)",1730,124.74,42.39,1.78,159.85,2193.24,97.48,8.39,15.05,67.72
"#14 The Veggie (Wrap, White Wrap)",950,62.42,23.71,0.89,79.93,1393.89,62.49,4.61,4.8,36.15
"#14 The Veggie (Wrap, Tomato Basil Wrap)",950,62.42,23.71,0.89,79.93,1373.89,62.49,4.61,4.8,36.15
"#14 The Veggie (Wrap, Wheat Wrap)",930,62.42,23.71,0.89,79.93,1403.89,60.49,8.61,4.8,37.15
"#14 The Veggie (Wrap, Garlic Herb Wrap)",950,62.42,23.71,0.89,79.93,1603.89,62.49,4.61,4.8,36.15
"#14 The Veggie (Wrap, Spinach Herb Wrap)",950,62.42,23.71,0.89,79.93,1393.89,61.49,4.61,4.8,37.15
#14 The Veggie (Bowl),640,55.42,20.71,0.89,79.93,653.89,10.49,2.61,4.8,28.15
"#5 The Super Sub (Mini, White Bread)",490,24.37,6.73,0.39,42.69,1297.26,42.31,2.82,6.06,25.58
"#5 The Super Sub (Mini, Rosemary Parmesan Bread)",510,25.8,7.61,0.39,46.87,1344.33,42.85,3.07,6.07,26.95
"#5 The Super Sub (Mini, Wheat Bread)",500,24.65,6.47,0.39,42.69,1272.75,42.92,4.26,6.77,26.16
"#5 The Super Sub (Mini, Seeded Italian Bread)",520,25.63,6.94,0.39,42.69,1316.51,48.03,4.47,7.3,25.75
"#5 The Super Sub (Regular, White Bread)",810,43.9,11.19,0.66,67.96,2063.23,64.54,4.26,9.58,40.56
"#5 The Super Sub (Regular, Rosemary Parmesan Bread)",840,46.06,12.52,0.66,74.29,2134.56,65.36,4.63,9.59,42.63
"#5 The Super Sub (Regular, Wheat Bread)",820,44.32,10.8,0.66,67.96,2026.11,65.46,6.43,10.65,41.43
"#5 The Super Sub (Regular, Seeded Italian Bread)",860,45.81,11.5,0.66,67.96,2092.4,73.2,6.75,11.46,40.81
"#5 The Super Sub (Regular, Gluten Free Bread)",770,48.31,11.25,0.66,67.96,1872.4,51.2,4.25,11.46,36.31
