Name,Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg)
"Iced Coffee with Milk (Grande, Soy)",473,110,1,0.1,0,0,35,22,0,21,2,125
"Iced Coffee with Milk (Grande, Coconut)",473,100,1.5,1.5,0,0,35,22,0,22,0.4,150
"Iced Coffee with Milk (Venti, Nonfat)",709,160,0.1,0.1,0,0,60,35,0,35,4,170
"Iced Coffee with Milk (Venti, 2%)",709,170,2,1.5,0.1,10,65,35,0,35,4,170
"Iced Coffee with Milk (Venti, Whole)",709,190,3.5,2,0.1,10,60,35,0,35,4,170
"Iced Coffee with Milk (Venti, Soy)",709,160,1.5,0.2,0,0,55,33,0,32,3,170
"Iced Coffee with Milk (Venti, Coconut)",709,160,2.5,2,0,0,55,33,0,33,1,205
"Iced Coffee with Milk (Trenta, Nonfat)",887,210,0.2,0.1,0,5,70,46,0,46,5,190
"Iced Coffee with Milk (Trenta, 2%)",887,230,3,1.5,0.1,10,80,46,0,46,5,190
"Iced Coffee with Milk (Trenta, Whole)",887,240,4.5,2.5,0.1,15,75,46,0,46,5,190
"Iced Coffee with Milk (Trenta, Soy)",887,220,2,0.3,0,0,65,44,1,43,4,190
"Iced Coffee with Milk (Trenta, Coconut)",887,210,3,3,0,0,70,44,0,44,1,190
"Cold Brewed Coffee (Tall)",354,2,0,0,0,0,10,0,0,0,0.1,150
"Cold Brewed Coffee (Grande)",473,3,0,0,0,0,15,0,0,0,0.2,200
"Cold Brewed Coffee (Venti)",709,4,0,0,0,0,20,0,0,0,0.3,300
"Cold Brewed Coffee (Trenta)",887,5,0,0,0,0,25,0,0,0,0.3,330
"Vanilla Sweet Cream Cold Brew (Tall)",354,100,6,3.5,0.2,20,20,12,0,12,1,140
"Vanilla Sweet Cream Cold Brew (Grande)",473,110,6,3.5,0.2,20,25,14,0,14,1,185
"Vanilla Sweet Cream Cold Brew (Venti)",709,200,11,7,0.3,40,40,24,0,24,1,275
"Vanilla Sweet Cream Cold Brew (Trenta)",887,210,11,7,0.3,40,45,26,0,26,2,320
"Caffè Americano (Short)",236,5,0,0,0,0,5,1,0,0,0,75
"Caffè Americano (Tall)",354,10,0,0,0,0,10,2,0,0,1,150
"Caffè Americano (Grande)",473,15,0,0,0,0,15,3,0,0,1,225
"Caffè Americano (Venti)",591,25,0,0,0,0,15,4,0,0,1,300
"Iced Caffè Americano (Tall)",354,10,0,0,0,0,10,2,0,0,1,150
"Iced Caffè Americano (Grande)",473,15,0,0,0,0,15,3,0,0,1,225
"Iced Caffè Americano (Venti)",709,25,0,0,0,0,20,4,0,0,1,300
"Caffè Latte (Short, Nonfat)",236,70,0.1,0.1,0,5,75,10,0,9,6,75
"Caffè Latte (Short, 2%)",236,100,3.5,2.5,0.2,15,85,10,0,9,6,75
"Caffè Latte (Short, Whole)",236,110,6,3.5,0.2,20,75,10,0,9,6,75
"Caffè Latte (Short, Soy)",236,70,2.5,0.4,0,0,65,6,1,4,5,75
"Caffè Latte (Short, Coconut)",236,70,4,4,0,0,75,7,0,6,1,75
"Caffè Latte (Tall, Nonfat)",354,100,0.2,0.2,0,5,120,15,0,14,10,75
"Caffè Latte (Tall, 2%)",354,150,6,3.5,0.2,25,135,15,0,14,10,75
