Name,Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg)
"Cinnamon Dolce Latte (Grande, Whole, No Whip)",473,300,10,6,0.3,30,140,40,0,38,11,150
"Cinnamon Dolce Latte (Grande, Whole, Whip)",473,370,17,10,0.5,60,150,42,0,40,11,150
"Cinnamon Dolce Latte (Grande, Soy, No Whip)",473,220,5,0.5,0,0,120,34,1,30,9,150
"Cinnamon Dolce Latte (Grande, Soy, Whip)",473,300,12,5,0.2,25,125,37,1,32,10,150
"Cinnamon Dolce Latte (Grande, Coconut, No Whip)",473,210,7,7,0,0,140,36,0,33,1,150
"Cinnamon Dolce Latte (Grande, Coconut, Whip)",473,290,14,11,0.2,25,150,38,0,36,2,150
"Cinnamon Dolce Latte (Venti, Nonfat, No Whip)",591,270,0.3,0.2,0,10,180,51,0,49,15,150
"Cinnamon Dolce Latte (Venti, Nonfat, Whip)",591,340,7,4.5,0.2,35,190,54,0,51,15,150
"Cinnamon Dolce Latte (Venti, 2%, No Whip)",591,330,8,4,0.2,35,200,50,0,48,15,150
"Cinnamon Dolce Latte (Venti, 2%, Whip)",591,410,15,9,0.5,60,210,53,0,50,15,150
"Cinnamon Dolce Latte (Venti, Whole, No Whip)",591,380,14,8,0.4,40,180,50,0,48,14,150
"Cinnamon Dolce Latte (Venti, Whole, Whip)",591,450,21,12,0.5,70,190,53,0,50,14,150
"Cinnamon Dolce Latte (Venti, Soy, No Whip)",591,280,6,1,0,0,160,43,2,38,12,150
"Cinnamon Dolce Latte (Venti, Soy, Whip)",591,360,13,5,0.2,25,160,46,2,40,12,150
"Cinnamon Dolce Latte (Venti, Coconut, No Whip)",591,270,10,9,0,0,180,45,0,42,2,150
"Cinnamon Dolce Latte (Venti, Coconut, Whip)",591,350,17,14,0.2,25,190,47,0,45,2,150
"Espresso (Solo)",,5,0,0,0,0,0,1,0,0,0,75
"Espresso (Doppio)",,10,0,0,0,0,0,2,0,0,1,150
"Espresso (Triple)",,15,0,0,0,0,0,3,0,0,2,225
"Espresso (Quad)",,20,0,0,0,0,0,4,0,0,2,300
"Iced Espresso (Solo)",,5,0,0,0,0,0,1,0,0,0,75
"Iced Espresso (Doppio)",,10,0,0,0,0,0,2,0,0,1,150
"Iced Espresso (Triple)",,15,0,0,0,0,0,3,0,0,2,225
"Iced Espresso (Quad)",,20,0,0,0,0,0,4,0,0,2,300
"Espresso Con Panna (Solo, Whip)",,30,2.5,1.5,0,10,3,2,0,1,0.5,75
"Espresso Con Panna (Doppio, Whip)",,35,2.5,1.5,0.1,10,3,3,0,1,1,150
"Espresso Con Panna (Triple, Whip)",,40,2.5,1.5,0.1,10,0,4,0,1,1,225
"Espresso Con Panna (Quad, Whip)",,50,2.5,1.5,0.1,10,0,5,0,1,2,300
"Espresso Macchiato (Solo, Nonfat)",,5,0,0,0,0,2,1,0,0,0.5,75
"Espresso Macchiato (Solo, 2%)",,10,0.1,0,0,0,2,1,0,0,0.5,75
"Espresso Macchiato (Solo, Whole)",,10,0.1,0.1,0,0,2,1,0,0,0.5,75
"Espresso Macchiato (Solo, Soy)",,5,0.1,0,0,0,2,1,0,0,0.4,75
"Espresso Macchiato (Solo, Coconut)",,5,0.1,0.1,0,0,2,1,0,0,0.3,75
"Espresso Macchiato (Doppio, Nonfat)",,15,0,0,0,0,2,2,0,0,1,150
"Espresso Macchiato (Doppio, 2%)",,15,0.1,0,0,0,2,2,0,0,1,150
"Espresso Macchiato (Doppio, Whole)",,15,0.1,0,0,0,2,2,0,0,1,150
"Espresso Macchiato (Doppio, Soy)",,15,0.1,0,0,0,2,2,0,0,1,150
"Espresso Macchiato (Doppio, Coconut)",,10,0.1,0.1,0,0,2,2,0,0,1,150
"Espresso Macchiato (Triple, Nonfat)",,20,0,0,0,0,2,3,0,0,1,225
"Espresso Macchiato (Triple, 2%)",,20,0.1,0,0,0,2,3,0,0,1,225
"Espresso Macchiato (Triple, Whole)",,20,0.1,0,0,0,2,3,0,0,1,225
"Espresso Macchiato (Triple, Soy)",,20,0.1,0,0,0,2,3,0,0,1,225
"Espresso Macchiato (Triple, Coconut)",,20,0.1,0.1,0,0,2,3,0,0,1,225
"Espresso Macchiato (Quad, Nonfat)",,25,0,0,0,0,2,4,0,0,2,300
"Espresso Macchiato (Quad, 2%)",,25,0.1,0,0,0,2,4,0,0,2,300
"Espresso Macchiato (Quad, Whole)",,25,0.1,0,0,0,2,4,0,0,2,300
"Espresso Macchiato (Quad, Soy)",,25,0.1,0,0,0,2,4,0,0,2,300
"Espresso Macchiato (Quad, Coconut)",,25,0.1,0.1,0,0,2,4,0,0,2,300
"Flat White (Short, Nonfat)",236,60,0.1,0.1,0,5,70,9,0,8,6,130
"Flat White (Short, 2%)",236,90,3.5,2,0.1,15,80,9,0,8,6,130
"Flat White (Short, Whole)",236,110,5,3,0.2,15,70,9,0,8,6,130
"Flat White (Short, Soy)",236,70,2.5,0.3,0,0,65,6,1,4,5,130
"Flat White (Short, Coconut)",236,60,4,3.5,0,0,70,7,0,5,1,130
"Flat White (Tall, Nonfat)",354,100,0.2,0.2,0,5,115,15,0,13,10,130
"Flat White (Tall, 2%)",354,140,5,3.5,0.2,20,130,14,0,13,9,130
"Flat White (Tall, Whole)",354,170,9,5,0.3,25,115,14,0,13,9,130
"Flat White (Tall, Soy)",354,110,4,0.5,0,0,100,10,1,6,8,130
"Flat White (Tall, Coconut)",354,100,6,6,0,0,110,11,0,9,1,130
"Flat White (Grande, Nonfat)",473,130,0.3,0.2,0,5,150,19,0,17,12,195
"Flat White (Grande, 2%)",473,180,7,4.5,0.3,30,160,18,0,17,12,195
"Flat White (Grande, Whole)",473,220,11,7,0.3,35,150,18,0,17,12,195
"Flat White (Grande, Soy)",473,150,5,0.5,0,0,130,13,1,8,10,195
"Flat White (Grande, Coconut)",473,130,8,7,0,0,140,14,0,11,1,195
"Flat White (Venti, Nonfat)",591,170,0.4,0.3,0,10,190,24,0,23,16,195
"Flat White (Venti, 2%)",591,240,9,6,0.4,35,220,24,0,22,16,195
"Flat White (Venti, Whole)",591,290,15,9,0.4,45,200,24,0,22,15,195
"Flat White (Venti, Soy)",591,190,7,1,0,0,170,16,2,11,13,195
"Flat White (Venti, Coconut)",591,170,10,10,0,0,190,18,0,15,2,195
"Latte Macchiato (Short, Nonfat)",236,60,0.1,0.1,0,5,70,10,0,8,6,150
"Latte Macchiato (Short, 2%)",236,90,3.5,2,0.1,15,80,9,0,8,6,150
"Latte Macchiato (Short, Whole)",236,110,5,3,0.2,15,70,9,0,8,6,150
"Latte Macchiato (Short, Soy)",236,70,2.5,0.3,0,0,60,7,1,4,5,150
"Latte Macchiato (Short, Coconut)",236,70,3.5,3.5,0,0,70,7,0,5,1,150
"Latte Macchiato (Tall, Nonfat)",354,100,0.2,0.2,0,5,115,15,0,13,10,150
"Latte Macchiato (Tall, 2%)",354,140,5,3.5,0.2,20,130,15,0,13,9,150
"Latte Macchiato (Tall, Whole)",354,170,9,5,0.3,25,115,15,0,13,9,150
"Latte Macchiato (Tall, Soy)",354,110,4,0.5,0,0,100,10,1,6,8,150
"Latte Macchiato (Tall, Coconut)",354,100,6,6,0,0,110,11,0,9,1,150
"Latte Macchiato (Grande, Nonfat)",473,130,0.3,0.2,0,5,150,19,0,17,12,225
"Latte Macchiato (Grande, 2%)",473,190,7,4.5,0.3,30,160,19,0,17,12,225
"Latte Macchiato (Grande, Whole)",473,220,11,6,0.3,35,150,19,0,17,12,225
"Latte Macchiato (Grande, Soy)",473,140,5,0.5,0,0,125,13,1,8,10,225
"Latte Macchiato (Grande, Coconut)",473,130,8,7,0,0,140,14,0,11,2,225
"Latte Macchiato (Venti, Nonfat)",591,170,0.4,0.3,0,10,190,25,0,23,16,225
"Latte Macchiato (Venti, 2%)",591,240,9,6,0.4,35,210,24,0,22,16,225
"Latte Macchiato (Venti, Whole)",591,290,15,8,0.4,45,200,24,0,22,15,225
"Latte Macchiato (Venti, Soy)",591,190,7,1,0,0,170,16,2,10,13,225
"Latte Macchiato (Venti, Coconut)",591,170,10,10,0,0,190,18,0,15,2,225
"Skinny Cinnamon Dolce Latte (Short, Nonfat)",236,60,0.1,0.1,0,5,80,9,0,8,6,75
"Skinny Cinnamon Dolce Latte (Tall, Nonfat)",354,100,0.2,0.1,0,5,125,14,0,13,9,75
"Skinny Cinnamon Dolce Latte (Grande, Nonfat)",473,120,0.3,0.2,0,5,160,19,0,16,12,150
"Skinny Cinnamon Dolce Latte (Venti, Nonfat)",591,160,0.3,0.2,0,10,200,24,0,21,15,150
"Iced Skinny Cinnamon Dolce Latte (Tall, Nonfat)",354,60,0.1,0.1,0,5,80,9,0,8,6,75
"Iced Skinny Cinnamon Dolce Latte (Grande, Nonfat)",473,80,0.2,0.1,0,5,105,12,0,10,7,150
"Iced Skinny Cinnamon Dolce Latte (Venti, Nonfat)",709,110,0.2,0.2,0,5,140,17,0,14,10,225
"Skinny Mocha (Short, Nonfat)",236,80,1,0.5,0,5,70,12,2,7,7,75
"Skinny Mocha (Tall, Nonfat)",354,130,1,1,0.1,5,115,18,3,12,11,75
"Skinny Mocha (Grande, Nonfat)",473,160,1.5,1,0.1,5,140,24,4,15,14,150
"Skinny Mocha (Venti, Nonfat)",591,210,2,1.5,0.1,10,190,30,5,19,18,150
"Iced Skinny Mocha (Tall, Nonfat)",354,90,1,0.5,0.1,5,75,13,3,7,7,75
"Iced Skinny Mocha (Grande, Nonfat)",473,120,1.5,1,0.1,5,95,17,4,8,9,150
"Iced Skinny Mocha (Venti, Nonfat)",709,170,2.5,1.5,0.1,5,130,25,6,11,13,225
"Starbucks Doubleshot on Ice (Tall, Nonfat)",354,70,0,0,0,0,35,14,0,13,3,150
"Starbucks Doubleshot on Ice (Tall, 2%)",354,80,1,1,0.1,5,35,14,0,13,3,150
"Starbucks Doubleshot on Ice (Tall, Whole)",354,90,2,1,0.1,5,35,14,0,13,2,150
"Starbucks Doubleshot on Ice (Tall, Soy)",354,70,1,0.1,0,0,30,13,0,11,2,150
"Starbucks Doubleshot on Ice (Tall, Coconut)",354,70,1.5,1.5,0,0,30,13,0,12,1,150
"Starbucks Doubleshot on Ice (Grande, Nonfat)",473,90,0,0,0,0,35,20,0,18,3,225
"Starbucks Doubleshot on Ice (Grande, 2%)",473,100,1,1,0.1,5,40,20,0,18,3,225
"Starbucks Doubleshot on Ice (Grande, Whole)",473,110,2,1,0.1,5,35,20,0,18,3,225
"Starbucks Doubleshot on Ice (Grande, Soy)",473,100,1,0.1,0,0,35,19,0,16,3,225
"Starbucks Doubleshot on Ice (Grande, Coconut)",473,90,1.5,1.5,0,0,35,19,0,17,1,225
"Starbucks Doubleshot on Ice (Venti, Nonfat)",709,150,0.1,0.1,0,0,50,33,0,29,4,375
"Starbucks Doubleshot on Ice (Venti, 2%)",709,170,2,1,0.1,5,55,33,0,29,4,375
"Starbucks Doubleshot on Ice (Venti, Whole)",709,180,3,1.5,0.1,10,50,33,0,29,4,375
"Starbucks Doubleshot on Ice (Venti, Soy)",709,160,1.5,0.2,0,0,45,31,0,27,4,375
"Starbucks Doubleshot on Ice (Venti, Coconut)",709,150,2,2,0,0,50,32,0,28,2,375
"White Chocolate Mocha (Short, Nonfat, No Whip)",236,180,3,2.5,0,5,115,30,0,29,7,75
"White Chocolate Mocha (Short, Nonfat, Whip)",236,230,8,6,0.2,25,120,32,0,30,7,75
"White Chocolate Mocha (Short, 2%, No Whip)",236,200,6,3.5,0.1,15,120,30,0,29,7,75
"White Chocolate Mocha (Short, 2%, Whip)",236,250,11,7,0.2,35,125,32,0,30,7,75
"White Chocolate Mocha (Short, Whole, No Whip)",236,210,8,5,0.1,15,115,30,0,29,7,75
"White Chocolate Mocha (Short, Whole, Whip)",236,270,13,8,0.3,35,120,32,0,30,7,75
"White Chocolate Mocha (Short, Soy, No Whip)",236,180,5,2.5,0,5,105,28,1,25,6,75
"White Chocolate Mocha (Short, Soy, Whip)",236,230,10,6,0.2,20,110,29,1,26,6,75
"White Chocolate Mocha (Short, Coconut, No Whip)",236,180,6,5,0,5,115,28,0,27,3,75
"White Chocolate Mocha (Short, Coconut, Whip)",236,230,11,9,0.2,20,120,30,0,28,3,75
"White Chocolate Mocha (Tall, Nonfat, No Whip)",354,270,4.5,3.5,0,10,180,46,0,45,11,75
"White Chocolate Mocha (Tall, Nonfat, Whip)",354,330,10,7,0.2,30,190,48,0,46,12,75
"White Chocolate Mocha (Tall, 2%, No Whip)",354,300,9,6,0.1,25,190,46,0,44,11,75
"White Chocolate Mocha (Tall, 2%, Whip)",354,370,15,10,0.3,45,200,47,0,46,11,75
"White Chocolate Mocha (Tall, Whole, No Whip)",354,330,12,8,0.2,30,180,46,0,44,11,75
"White Chocolate Mocha (Tall, Whole, Whip)",354,390,18,12,0.4,50,190,47,0,46,11,75
"White Chocolate Mocha (Tall, Soy, No Whip)",354,280,8,4,0,5,170,41,1,38,10,75
"White Chocolate Mocha (Tall, Soy, Whip)",354,340,14,8,0.2,25,170,43,1,40,10,75
"White Chocolate Mocha (Tall, Coconut, No Whip)",354,270,10,9,0,5,180,42,0,41,4,75
"White Chocolate Mocha (Tall, Coconut, Whip)",354,330,16,12,0.2,25,180,44,0,43,4,75
"White Chocolate Mocha (Grande, Nonfat, No Whip)",473,350,6,4.5,0,10,230,61,0,58,14,150
"White Chocolate Mocha (Grande, Nonfat, Whip)",473,420,13,9,0.2,35,240,63,0,60,15,150
"White Chocolate Mocha (Grande, 2%, No Whip)",473,400,11,7,0.2,30,240,60,0,58,14,150
"White Chocolate Mocha (Grande, 2%, Whip)",473,470,18,12,0.4,55,250,62,0,59,14,150
"White Chocolate Mocha (Grande, Whole, No Whip)",473,430,15,10,0.3,35,230,60,0,58,14,150
"White Chocolate Mocha (Grande, Whole, Whip)",473,500,22,14,0.5,60,240,62,0,59,14,150
"White Chocolate Mocha (Grande, Soy, No Whip)",473,360,10,5,0,5,210,55,1,51,12,150
"White Chocolate Mocha (Grande, Soy, Whip)",473,430,17,10,0.2,30,220,57,1,52,13,150
"White Chocolate Mocha (Grande, Coconut, No Whip)",473,350,12,11,0,5,230,56,0,54,5,150
"White Chocolate Mocha (Grande, Coconut, Whip)",473,420,19,15,0.2,30,230,58,0,56,6,150
"White Chocolate Mocha (Venti, Nonfat, No Whip)",591,440,7,6,0,15,300,77,0,74,18,150
"White Chocolate Mocha (Venti, Nonfat, Whip)",591,510,14,10,0.2,40,300,79,0,76,19,150
"White Chocolate Mocha (Venti, 2%, No Whip)",591,500,15,10,0.2,35,320,76,0,74,18,150
"White Chocolate Mocha (Venti, 2%, Whip)",591,580,22,14,0.4,65,320,78,0,75,19,150
"White Chocolate Mocha (Venti, Whole, No Whip)",591,550,20,13,0.4,45,300,76,0,74,18,150
"White Chocolate Mocha (Venti, Whole, Whip)",591,620,27,17,0.5,70,310,78,0,75,18,150
"White Chocolate Mocha (Venti, Soy, No Whip)",591,460,13,6,0,5,270,69,1,64,16,150
"White Chocolate Mocha (Venti, Soy, Whip)",591,530,20,11,0.2,30,280,71,1,65,16,150
"White Chocolate Mocha (Venti, Coconut, No Whip)",591,450,16,14,0,5,290,71,0,68,6,150
"White Chocolate Mocha (Venti, Coconut, Whip)",591,520,23,18,0.2,30,300,73,0,70,7,150
"Iced White Chocolate Mocha (Tall, Nonfat, No Whip)",354,230,4.5,3.5,0,5,135,41,0,40,8,75
"Iced White Chocolate Mocha (Tall, Nonfat, Whip)",354,310,12,8,0.2,35,150,43,0,41,8,75
"Iced White Chocolate Mocha (Tall, 2%, No Whip)",354,250,7,5,0.1,15,140,41,0,39,8,75
"Iced White Chocolate Mocha (Tall, 2%, Whip)",354,330,15,10,0.3,45,150,43,0,41,8,75
"Iced White Chocolate Mocha (Tall, Whole, No Whip)",354,270,9,6,0.1,15,140,41,0,39,7,75
"Iced White Chocolate Mocha (Tall, Whole, Whip)",354,350,17,11,0.4,45,150,43,0,41,8,75
"Iced White Chocolate Mocha (Tall, Soy, No Whip)",354,240,6,3.5,0,5,130,38,1,36,7,75
"Iced White Chocolate Mocha (Tall, Soy, Whip)",354,320,14,9,0.2,35,140,41,1,38,7,75
"Iced White Chocolate Mocha (Tall, Coconut, No Whip)",354,230,7,6,0,5,135,39,0,37,3,75
"Iced White Chocolate Mocha (Tall, Coconut, Whip)",354,310,15,11,0.2,35,140,41,0,39,4,75
"Iced White Chocolate Mocha (Grande, Nonfat, No Whip)",473,310,6,4.5,0,10,170,54,0,52,10,150
"Iced White Chocolate Mocha (Grande, Nonfat, Whip)",473,420,17,12,0.3,50,190,58,0,55,11,150
"Iced White Chocolate Mocha (Grande, 2%, No Whip)",473,330,9,6,0.1,20,180,54,0,52,10,150
"Iced White Chocolate Mocha (Grande, 2%, Whip)",473,450,20,13,0.4,60,200,57,0,54,11,150
"Iced White Chocolate Mocha (Grande, Whole, No Whip)",473,350,11,8,0.2,20,180,54,0,52,10,150
"Iced White Chocolate Mocha (Grande, Whole, Whip)",473,470,22,15,0.5,65,190,57,0,54,10,150
"Iced White Chocolate Mocha (Grande, Soy, No Whip)",473,320,8,5,0,5,170,51,1,48,9,150
"Iced White Chocolate Mocha (Grande, Soy, Whip)",473,430,19,12,0.3,45,180,55,1,50,10,150
"Iced White Chocolate Mocha (Grande, Coconut, No Whip)",473,310,9,8,0,5,170,52,0,49,5,150
"Iced White Chocolate Mocha (Grande, Coconut, Whip)",473,420,20,15,0.3,45,180,55,0,52,5,150
"Iced White Chocolate Mocha (Venti, Nonfat, No Whip)",709,450,9,7,0,10,260,81,0,77,14,225
"Iced White Chocolate Mocha (Venti, Nonfat, Whip)",709,570,20,14,0.3,55,270,84,0,80,15,225
"Iced White Chocolate Mocha (Venti, 2%, No Whip)",709,490,13,9,0.1,25,270,80,0,77,14,225
"Iced White Chocolate Mocha (Venti, 2%, Whip)",709,600,24,16,0.5,65,280,84,0,79,15,225
"Iced White Chocolate Mocha (Venti, Whole, No Whip)",709,520,16,11,0.2,30,260,80,0,77,14,225
"Iced White Chocolate Mocha (Venti, Whole, Whip)",709,630,27,18,0.5,70,270,84,0,79,15,225
"Iced White Chocolate Mocha (Venti, Soy, No Whip)",709,470,12,7,0,10,250,77,1,71,13,225
"Iced White Chocolate Mocha (Venti, Soy, Whip)",709,580,23,14,0.3,50,260,80,1,74,14,225
"Iced White Chocolate Mocha (Venti, Coconut, No Whip)",709,450,13,12,0,10,250,77,0,73,7,225
"Iced White Chocolate Mocha (Venti, Coconut, Whip)",709,570,25,19,0.3,50,260,80,0,76,8,225
"Iced Black Tea (Tall)",354,60,0,0,0,0,5,15,0,15,0,20-25
"Iced Black Tea (Grande)",473,80,0,0,0,0,10,20,0,20,0,25-30
"Iced Black Tea (Venti)",709,120,0,0,0,0,15,30,0,30,0,40-45
"Iced Black Tea (Trenta)",887,140,0,0,0,0,20,35,0,34,0,50-55
"Iced Black Tea Lemonade (Tall)",354,90,0,0,0,0,5,24,0,24,0.1,20-25
"Iced Black Tea Lemonade (Grande)",473,120,0,0,0,0,5,32,0,32,0.1,25-30
"Iced Black Tea Lemonade (Venti)",709,190,0,0,0,0,10,48,0,47,0.1,40-45
"Iced Black Tea Lemonade (Trenta)",887,220,0,0,0,0,10,58,0,57,0.1,50-55
"Chai Tea Latte (Short, Nonfat)",236,100,0.1,0.1,0,0,50,22,0,21,4,50
"Chai Tea Latte (Short, 2%)",236,120,2,1,0.1,10,55,22,0,21,4,50
"Chai Tea Latte (Short, Whole)",236,130,3.5,2,0.1,10,55,22,0,21,4,50
"Chai Tea Latte (Short, Soy)",236,110,1.5,0.2,0,0,45,20,0,18,3,50
"Chai Tea Latte (Short, Coconut)",236,100,2.5,2.5,0,0,50,21,0,19,1,50
"Chai Tea Latte (Tall, Nonfat)",354,160,0.2,0.1,0,5,80,34,0,32,6,70
"Chai Tea Latte (Tall, 2%)",354,190,3.5,1.5,0.1,15,90,34,0,32,6,70
"Chai Tea Latte (Tall, Whole)",354,200,6,3,0.2,15,80,34,0,32,6,70
"Chai Tea Latte (Tall, Soy)",354,160,2.5,0.3,0,0,70,31,1,28,5,70
"Chai Tea Latte (Tall, Coconut)",354,160,3.5,3.5,0,0,75,31,0,29,1,70
"Chai Tea Latte (Grande, Nonfat)",473,210,0.2,0.1,0,5,105,45,0,43,8,95
"Chai Tea Latte (Grande, 2%)",473,240,4.5,2,0.1,20,115,45,0,42,8,95
"Chai Tea Latte (Grande, Whole)",473,270,7,4,0.2,20,105,45,0,42,7,95
"Chai Tea Latte (Grande, Soy)",473,220,3.5,0.4,0,0,90,41,1,37,6,95
"Chai Tea Latte (Grande, Coconut)",473,210,4.5,4.5,0,0,95,41,0,39,1,95
"Chai Tea Latte (Venti, Nonfat)",591,260,0.3,0.2,0,5,135,57,0,54,10,120
"Chai Tea Latte (Venti, 2%)",591,310,6,3,0.2,25,150,56,0,53,10,120
"Chai Tea Latte (Venti, Whole)",591,340,9,5,0.3,30,135,56,0,53,10,120
"Chai Tea Latte (Venti, Soy)",591,280,4.5,0.5,0,0,115,51,1,46,8,120
"Chai Tea Latte (Venti, Coconut)",591,260,6,6,0,0,120,52,0,48,1,120
"Iced Chai Tea Latte (Tall, Nonfat)",354,150,0.2,0.1,0,5,75,33,0,31,6,70
"Iced Chai Tea Latte (Tall, 2%)",354,180,3,1.5,0.1,10,80,33,0,31,5,70
"Iced Chai Tea Latte (Tall, Whole)",354,190,5,3,0.1,15,75,33,0,31,5,70
"Iced Chai Tea Latte (Tall, Soy)",354,160,2.5,0.3,0,0,70,30,1,27,5,70
"Iced Chai Tea Latte (Tall, Coconut)",354,150,3.5,3,0,0,70,31,0,29,1,70
"Iced Chai Tea Latte (Grande, Nonfat)",473,200,0.2,0.1,0,5,100,44,0,42,8,95
"Iced Chai Tea Latte (Grande, 2%)",473,240,4,2,0.1,15,110,44,0,42,7,95
"Iced Chai Tea Latte (Grande, Whole)",473,260,7,4,0.2,20,105,44,0,42,7,95
"Iced Chai Tea Latte (Grande, Soy)",473,220,3.5,0.4,0,0,90,41,1,37,6,95
"Iced Chai Tea Latte (Grande, Coconut)",473,200,4.5,4.5,0,0,95,41,0,38,1,95
"Iced Chai Tea Latte (Venti, Nonfat)",709,300,0.3,0.2,0,5,140,65,0,62,11,145
"Iced Chai Tea Latte (Venti, 2%)",709,350,6,3,0.2,25,160,65,0,61,10,145
"Iced Chai Tea Latte (Venti, Whole)",709,380,9,5,0.3,30,140,65,0,61,10,145
"Iced Chai Tea Latte (Venti, Soy)",709,320,4.5,0.5,0,0,130,60,1,55,9,145
"Iced Chai Tea Latte (Venti, Coconut)",709,300,6,6,0,0,135,61,0,57,1,145
"Earl Grey Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,40+
"Earl Grey Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,40+
"Earl Grey Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,40+
"Earl Grey Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,40+
"Emperor's Clouds and Mist Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,1--15
"Emperor's Clouds and Mist Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,1--15
"Emperor's Clouds and Mist Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,16-25
"Emperor's Clouds and Mist Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,16-25
"English Breakfast Black Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,40+
"English Breakfast Black Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,40+
"English Breakfast Black Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,40+
"English Breakfast Black Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,40+
"English Breakfast Black Tea Latte (Short, Nonfat)",236,80,0.1,0.1,0,0,50,15,0,15,4,40+
"English Breakfast Black Tea Latte (Short, 2%)",236,100,2,1.5,0.1,10,55,15,0,15,4,40+
"English Breakfast Black Tea Latte (Short, Whole)",236,110,3.5,2,0.1,10,50,15,0,15,4,40+
"English Breakfast Black Tea Latte (Short, Soy)",236,80,1.5,0.2,0,0,40,13,0,12,3,40+
"English Breakfast Black Tea Latte (Short, Coconut)",236,80,2.5,2.5,0,0,45,14,0,13,0.2,40+
"English Breakfast Black Tea Latte (Tall, Nonfat)",354,110,0.1,0.1,0,5,70,23,0,23,5,40+
"English Breakfast Black Tea Latte (Tall, 2%)",354,140,3,2,0.1,15,80,23,0,23,5,40+
"English Breakfast Black Tea Latte (Tall, Whole)",354,160,5,3,0.2,15,75,23,0,23,5,40+
"English Breakfast Black Tea Latte (Tall, Soy)",354,120,2.5,0.3,0,0,60,20,1,18,4,40+
"English Breakfast Black Tea Latte (Tall, Coconut)",354,120,3.5,3.5,0,0,70,20,0,20,0.4,40+
"English Breakfast Black Tea Latte (Grande, Nonfat)",473,150,0.2,0.1,0,5,95,30,0,30,7,40+
"English Breakfast Black Tea Latte (Grande, 2%)",473,180,4,2.5,0.2,15,105,30,0,30,7,40+
"English Breakfast Black Tea Latte (Grande, Whole)",473,210,7,4,0.2,20,95,30,0,30,7,40+
"English Breakfast Black Tea Latte (Grande, Soy)",473,160,3,0.4,0,0,80,26,1,24,6,40+
"English Breakfast Black Tea Latte (Grande, Coconut)",473,150,4.5,4.5,0,0,90,27,0,26,0.5,40+
"English Breakfast Black Tea Latte (Venti, Nonfat)",591,190,0.2,0.1,0,5,120,38,0,38,9,40+
"English Breakfast Black Tea Latte (Venti, 2%)",591,230,5,3.5,0.2,20,135,38,0,38,9,40+
"English Breakfast Black Tea Latte (Venti, Whole)",591,260,9,5,0.3,25,125,38,0,38,8,40+
"English Breakfast Black Tea Latte (Venti, Soy)",591,200,4,0.5,0,0,105,33,1,31,7,40+
"English Breakfast Black Tea Latte (Venti, Coconut)",591,190,6,6,0,0,115,34,0,33,1,40+
"Green Tea Latte (Short, Nonfat)",236,80,0.2,0.1,0,5,70,14,0,14,6,30
"Green Tea Latte (Short, 2%)",236,110,3.5,2,0.1,15,80,14,0,14,6,30
"Green Tea Latte (Short, Whole)",236,130,6,3,0.2,15,75,14,0,14,6,30
"Green Tea Latte (Short, Soy)",236,90,3,0.4,0,0,65,11,1,9,5,30
"Green Tea Latte (Short, Coconut)",236,80,3.5,3.5,0,0,65,11,0,11,1,30
"Green Tea Latte (Tall, Nonfat)",354,140,0.3,0.2,0,5,115,25,1,24,10,55
"Green Tea Latte (Tall, 2%)",354,190,5,3.5,0.2,20,125,25,1,24,10,55
"Green Tea Latte (Tall, Whole)",354,220,9,5,0.3,25,115,25,1,24,9,55
"Green Tea Latte (Tall, Soy)",354,160,4.5,0.5,0,0,105,20,2,17,8,55
"Green Tea Latte (Tall, Coconut)",354,140,6,6,0,0,105,21,1,19,1,55
"Green Tea Latte (Grande, Nonfat)",473,190,0.4,0.2,0,5,140,34,1,33,12,80
"Green Tea Latte (Grande, 2%)",473,240,7,4.5,0.3,25,160,34,1,32,12,80
"Green Tea Latte (Grande, Whole)",473,280,11,6,0.3,35,150,34,1,32,12,80
"Green Tea Latte (Grande, Soy)",473,210,6,0.5,0,0,130,28,3,24,10,80
"Green Tea Latte (Grande, Coconut)",473,190,8,7,0,0,135,29,1,27,2,80
"Green Tea Latte (Venti, Nonfat)",591,250,0.5,0.3,0,10,190,45,2,44,16,110
"Green Tea Latte (Venti, 2%)",591,320,9,6,0.4,35,210,45,2,43,16,110
"Green Tea Latte (Venti, Whole)",591,370,15,8,0.4,45,190,45,2,43,15,110
