Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Large Tortilla Soup,760,27,6,0,10,2380,113,22,21,26
Chia Pudding ,330,23,13,0,0,15,30,9,20,8
Frozen Yogurt ,260,4,2,0,10,120,52,0,50,8
Chicken Protein,90,1,0,0,45,380,3,0,0,16
Steak Protein,90,4,1,1,30,510,0,0,0,13
