Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"Chicken (Taco, Kids', Quesadilla Snack Size)",50,50.0,1.4,0.2,0.0,17.0,401.1,1.4,0.0,1.2,8.8
Chicken (Mucho Burrito),150,160.0,4.2,0.6,0.0,51.0,1203.4,4.3,0.0,3.5,26.5
"Chicken (Regular Burrito, Bowl, Salad, Quesadilla)",100,110.0,2.8,0.4,0.0,34.0,802.3,2.9,0.0,2.3,17.7
Chicken (Small Burrito),75,80.0,2.1,0.3,0.0,25.5,601.7,2.2,0.0,1.8,13.3
Chicken Tinga (Mucho Burrito),150,153.0,7.1,0.3,0.0,0.0,562.0,10.6,1.4,3.0,29.4
"Chicken Tinga (Regular Burrito, Bowl)",100,102.0,5.8,0.2,0.0,0.0,454.0,8.6,1.1,2.5,24.0
Chicken Tinga (Small Burrito),75,77.0,5.2,0.2,0.0,25.5,414.0,7.8,1.0,2.2,21.6
"Chorizo (Taco, Kids', Quesadilla Snack Size)",50,160.0,13.5,4.9,0.0,30.9,440.4,2.4,1.1,0.6,7.7
Chorizo (Mucho Burrito),150,480.0,40.5,14.8,0.0,92.7,1321.2,7.2,3.2,1.8,23.2
"Chorizo (Regular Burrito, Bowl, Salad, Quesadilla)",100,320.0,27.0,9.9,0.0,61.8,880.8,4.8,2.2,1.2,15.5
Chorizo (Small Burrito),75,240.0,20.3,7.4,0.0,46.4,660.6,3.6,1.6,0.9,11.6
"Chili Lime Shrimp (Taco, Kids', Quesadilla Snack Size)",50,60.0,1.7,0.2,0.0,53.6,275.9,2.6,0.1,0.8,7.3
Chili Lime Shrimp (Mucho Burrito),180,210.0,6.3,0.7,0.0,193.1,993.4,9.3,0.5,2.9,26.4
"Chili Lime Shrimp (Regular Burrito, Bowl, Salad, Quesadilla)",120,140.0,4.2,0.5,0.0,128.7,662.2,6.2,0.3,1.9,17.6
Chili Lime Shrimp (Small Burrito),90,100.0,3.1,0.4,0.0,96.6,496.7,4.6,0.3,1.4,13.2
