Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Minute Maid Cranberry Limeade Rt 44,490,0,0,0,0,90,131,0,127,0
Strawberry Limeade Wacky Pack,100,0,0,0,0,25,25,1,24,0
Strawberry Limeade (Small),130,0,0,0,0,30,35,1,34,0
Strawberry Limeade (Medium),220,0,0,0,0,50,59,1,57,0
Strawberry Limeade (Large),340,0,0,0,0,80,90,2,87,0
Strawberry Limeade Rt 44,450,0,0,0,0,105,120,2,117,0
Ocean Water Wacky Pack,80,0,0,0,0,20,21,0,21,0
Ocean Water (Small),120,0,0,0,0,30,31,0,31,0
Ocean Water (Medium),200,0,0,0,0,45,52,0,52,0
Ocean Water (Large),300,0,0,0,0,70,79,0,79,0
Ocean Water Rt 44,400,0,0,0,0,95,107,0,106,0
Blackberry Sugar-Free Add-In Wacky Pack,0,0,0,0,0,5,1,0,0,0
Blackberry Sugar-Free Add-In (Small),0,0,0,0,0,5,1,0,0,0
Blackberry Sugar-Free Add-In (Medium),5,0,0,0,0,15,1,0,0,0
Blackberry Sugar-Free Add-In (Large),5,0,0,0,0,20,2,0,0,0
Blackberry Sugar-Free Add-In Rt 44,10,0,0,0,0,30,2,0,0,0
Blue Coconut Add-In Wacky Pack,15,0,0,0,0,0,3,0,3,0
Blue Coconut Add-In (Small),15,0,0,0,0,0,3,0,3,0
Blue Coconut Add-In (Medium),25,0,0,0,0,0,6,0,6,0
Blue Coconut Add-In (Large),40,0,0,0,0,5,9,0,9,0
Blue Coconut Add-In Rt 44,50,0,0,0,0,10,13,0,12,0
Blue Raspberry Add-In Wacky Pack,10,0,0,0,0,0,3,0,3,0
Blue Raspberry Add-In (Small),10,0,0,0,0,0,3,0,3,0
Blue Raspberry Add-In (Medium),20,0,0,0,0,0,6,0,5,0
Blue Raspberry Add-In (Large),35,0,0,0,0,5,8,0,8,0
Blue Raspberry Add-In Rt 44,45,0,0,0,0,10,11,0,11,0
Caramel Topping Wacky Pack,90,1,0.5,0,5,90,19,0,12,0
Caramel Topping (Small),90,1,0.5,0,5,90,19,0,12,0
Caramel Topping (Medium),180,2,1.5,0,5,180,37,0,24,0
Caramel Topping (Large),270,3.5,2,0,10,270,56,0,36,0
Caramel Topping Rt 44,360,4.5,3,0,15,360,75,0,48,0
Cherry Add-In Wacky Pack,30,0,0,0,0,0,8,0,8,0
Cherry Add-In (Small),30,0,0,0,0,0,8,0,8,0
Cherry Add-In (Medium),60,0,0,0,0,5,17,0,17,0
Cherry Add-In (Large),90,0,0,0,0,10,25,0,25,0
Cherry Add-In Rt 44,120,0,0,0,0,10,34,0,34,0
Cherry Garnish,10,0,0,0,0,0,2,0,2,0
Chocolate Add-In Wacky Pack,80,0,0,0,0,30,19,0,15,0
Chocolate Add-In (Small),80,0,0,0,0,30,19,0,15,0
Chocolate Add-In (Medium),160,0,0,0,0,60,38,0,31,0
Chocolate Add-In (Large),240,0,0,0,0,85,57,0,46,0
Chocolate Add-In Rt 44,320,0,0,0,0,115,76,0,61,0
Diet Cherry Sugar-Free Add-In Wacky Pack,15,0,0,0,0,10,3,0,2,0
Diet Cherry Sugar-Free Add-In (Small),15,0,0,0,0,15,3,0,2,0
Diet Cherry Sugar-Free Add-In (Medium),20,0,0,0,0,20,3,0,2,0
Diet Cherry Sugar-Free Add-In (Large),25,0,0,0,0,35,4,0,2,0
Diet Cherry Sugar-Free Add-In Rt 44,30,0,0,0,0,45,4,0,2,0
Grape Add-In Wacky Pack,20,0,0,0,0,0,5,0,5,0
Grape Add-In (Small),20,0,0,0,0,0,5,0,5,0
Grape Add-In (Medium),45,0,0,0,0,5,11,0,10,0
Grape Add-In (Large),70,0,0,0,0,10,16,0,16,0
Grape Add-In Rt 44,90,0,0,0,0,10,22,0,21,0
Hot Fudge Topping Wacky Pack,100,3.5,3,0,0,45,16,1,12,1
Hot Fudge Topping (Small),100,3.5,3,0,0,45,16,1,12,1
Hot Fudge Topping (Medium),200,7,6,0,0,90,32,2,25,2
Hot Fudge Topping (Large),300,10,9,0,0,140,48,2,37,2
Hot Fudge Topping Rt 44,400,14,12,0,0,180,64,3,49,3
Lemon Add-In Wacky Pack,0,0,0,0,0,0,1,0,0,0
Lemon Add-In (Small),0,0,0,0,0,0,1,0,0,0
Lemon Add-In (Medium),5,0,0,0,0,0,1,0,1,0
Lemon Add-In (Large),5,0,0,0,0,0,2,0,1,0
Lemon Add-In Rt 44,10,0,0,0,0,0,3,0,1,0
Lime Add-In Wacky Pack,0,0,0,0,0,0,1,0,0,0
Lime Add-In (Small),0,0,0,0,0,0,1,0,0,0
Lime Add-In (Medium),5,0,0,0,0,0,1,0,0,0
Lime Add-In (Large),5,0,0,0,0,0,2,0,0,0
Lime Add-In Rt 44,5,0,0,0,0,0,2,0,0,0
Mango Sugar-Free Add-In Wacky Pack,0,0,0,0,0,5,1,0,0,0
Mango Sugar-Free Add-In (Small),0,0,0,0,0,5,1,0,0,0
Mango Sugar-Free Add-In (Medium),0,0,0,0,0,15,1,0,0,0
Mango Sugar-Free Add-In (Large),5,0,0,0,0,20,2,0,0,0
Mango Sugar-Free Add-In Rt 44,10,0,0,0,0,30,2,0,0,0
Minute Maid Cranberry Add-In Wacky Pack,35,0,0,0,0,0,9,0,8,0
Minute Maid Cranberry Add-In (Small),35,0,0,0,0,0,9,0,8,0
Minute Maid Cranberry Add-In (Medium),70,0,0,0,0,0,17,0,16,0
Minute Maid Cranberry Add-In (Large),100,0,0,0,0,0,26,0,24,0
Minute Maid Cranberry Add-In Rt 44,130,0,0,0,0,0,34,0,32,0
Nerds Candy Add-In Wacky Pack,110,0,0,0,0,0,26,26,0,0
Nerds Candy Add-In (Small),160,0,0,0,0,5,39,39,0,0
Nerds Candy Add-In (Medium),210,0,0,0,0,10,52,52,0,0
Nerds Candy Add-In (Large),230,0,0,0,0,10,57,57,0,0
Nerds Candy Add-In Rt 44,290,0,0,0,0,10,71,71,0,0
Peach Sugar-Free Add-In Wacky Pack,0,0,0,0,0,5,0,0,0,0
Peach Sugar-Free Add-In (Small),0,0,0,0,0,5,0,0,0,0
Peach Sugar-Free Add-In (Medium),0,0,0,0,0,10,1,0,0,0
Peach Sugar-Free Add-In (Large),5,0,0,0,0,20,1,0,0,0
Peach Sugar-Free Add-In Rt 44,5,0,0,0,0,25,1,0,0,0
Powerade Add-In Wacky Pack,25,0,0,0,0,20,6,0,6,0
Powerade Add-In (Small),25,0,0,0,0,20,6,0,6,0
Powerade Add-In (Medium),45,0,0,0,0,40,13,0,13,0
Powerade Add-In (Large),70,0,0,0,0,60,20,0,20,0
Powerade Add-In Rt 44,90,0,0,0,0,80,25,0,25,0
Raspberry Sugar-Free Add-In Wacky Pack,0,0,0,0,0,5,0,0,0,0
Raspberry Sugar-Free Add-In (Small),0,0,0,0,0,5,0,0,0,0
Raspberry Sugar-Free Add-In (Medium),5,0,0,0,0,15,1,0,0,0
Raspberry Sugar-Free Add-In (Large),5,0,0,0,0,20,1,0,0,0
Raspberry Sugar-Free Add-In Rt 44,5,0,0,0,0,25,1,0,0,0
Strawberry Add-In Wacky Pack,25,0,0,0,0,5,7,1,6,0
Strawberry Add-In (Small),25,0,0,0,0,5,7,1,6,0
Strawberry Add-In (Medium),50,0,0,0,0,10,12,1,11,0
Strawberry Add-In (Large),70,0,0,0,0,15,18,1,17,0
Strawberry Add-In Rt 44,90,0,0,0,0,20,24,2,22,0
Vanilla Add-In Wacky Pack,20,0,0,0,0,0,6,0,6,0
Vanilla Add-In (Small),20,0,0,0,0,0,6,0,6,0
Vanilla Add-In (Medium),45,0,0,0,0,0,12,0,12,0
Vanilla Add-In (Large),70,0,0,0,0,5,18,0,18,0
Vanilla Add-In Rt 44,90,0,0,0,0,5,24,0,24,0
BBQ Sauce,40,0,0,0,0,360,9,0,7,0
Country Gravy,70,2,0.5,0.5,0,440,13,0,4,1
Cream Cheese Frosting,160,10,6,0,5,140,17,0,19,0
Honey Mustard,90,8,1.5,0,10,170,6,0,4,0
Ketchup,10,0,0,0,0,85,3,0,2,0
Marinara,15,0,0,0,0,140,4,0,2,0
Light Mayo,40,3,0,0,5,105,3,2,0,0
Mustard,5,0,0,0,0,85,0,0,0,0
Ranch,110,11,2,0,10,230,1,0,1,0
Salsa De Sonic,0,0,0,0,0,140,0,0,0,0
Signature Cheese Sauce,110,9,2,0,5,580,5,0,2,2
Signature Sauce,100,6,1,0,5,280,10,0,8,0
Sweet Relish,10,0,0,0,0,55,3,0,2,0
Syrup,90,0,0,0,0,0,22,0,15,0
Red Bull Slush (Small),180,0,0,0,0,50,48,0,48,0
Red Bull Slush (Medium),250,0,0,0,0,80,65,0,65,0
Red Bull Slush (Large),390,0,0,0,0,125,103,0,102,1
Red Bull Slush Rt 44,540,0,0,0,0,170,144,0,143,1
Red Bull Can,120,0,0,0,0,110,30,0,29,1
Summer Edition Watermelon Red Bull Slush (Small),180,0,0,0,0,45,48,0,48,0
Summer Edition Watermelon Red Bull Slush (Medium),250,0,0,0,0,75,65,0,65,0
Summer Edition Watermelon Red Bull Slush (Large),390,0,0,0,0,115,103,0,102,0
Summer Edition Watermelon Red Bull Slush Rt 44,540,0,0,0,0,160,144,0,143,0
Summer Edition Watermelon Red Bull Can,120,0,0,0,0,95,30,0,29,0
Classic Chicken Slinger,350,16,3.5,0,35,680,35,3,6,15
Spicy Chicken Slinger,330,15,3.5,0,35,740,36,3,6,15
Yellow Cake Batter Shake Mini,540,31,18,0.5,55,200,57,0,40,6
Yellow Cake Batter Shake (Small),770,44,26,1,100,330,83,0,57,10
Yellow Cake Batter Shake (Medium),1050,61,33,1.5,125,420,113,0,77,13
Yellow Cake Batter Shake (Large),1560,90,48,2,190,640,168,1,113,20
Brownie Batter Shake Mini,530,31,18,0.5,55,320,59,1,40,7
Brownie Batter Shake (Small),760,43,26,1,100,450,85,1,57,11
Brownie Batter Shake (Medium),1040,59,32,1.5,125,670,117,2,78,14
Brownie Batter Shake (Large),1540,88,47,2,190,1010,174,4,115,22
Lemonberry Slush Float Mini,260,7,4,0,25,95,51,1,44,2
Lemonberry Slush Float (Small),350,9,5,0,30,125,68,1,59,3
Lemonberry Slush Float (Medium),430,11,7,0,40,150,83,1,73,3
Lemonberry Slush Float (Large),650,15,10,0.5,55,220,128,1,114,5
Bblt,610,39,10,0,55,1300,42,3,12,24
